# linedensity[i]	correlation[i]/1024	correlation_fftw[i]	FourierComp_fftw[i]
0.204689	0.124524	0.124524	12.044
0.302569	0.127462	0.127462	4.31576
0.59751	0.128554	0.128554	7.34354
0.485861	0.127797	0.127797	0.0765084
0.611764	0.125165	0.125165	0.943317
0.709918	0.121181	0.121181	1.43025
0.801391	0.115662	0.115662	0.829483
0.931012	0.108544	0.108544	1.31931
1.01652	0.100066	0.100066	12.284
1.06451	0.0905293	0.0905293	18.0782
1.02373	0.0803138	0.0803138	7.39872
1.00085	0.0688095	0.0688095	3.2978
1.16514	0.0571069	0.0571069	8.56523
1.15894	0.0445759	0.0445759	7.0451
1.07468	0.0320231	0.0320231	0.667831
0.953071	0.0197639	0.0197639	9.8402
1.0016	0.00697305	0.00697305	9.08471
0.831138	-0.00520793	-0.00520793	9.03982
0.790014	-0.01682	-0.01682	6.5427
0.712167	-0.0279793	-0.0279793	1.7516
0.638732	-0.0386174	-0.0386174	2.97917
0.39808	-0.0478613	-0.0478613	13.5864
0.328841	-0.0562413	-0.0562413	1.46671
0.343357	-0.0633521	-0.0633521	0.176771
0.155732	-0.0690871	-0.0690871	0.396424
-0.00302829	-0.0739237	-0.0739237	12.0937
-0.226125	-0.0768897	-0.0768897	11.8372
-0.389195	-0.0786268	-0.0786268	1.12968
-0.301135	-0.0790851	-0.0790851	0.0543071
-0.470055	-0.0784127	-0.0784127	6.42037
-0.717797	-0.0760139	-0.0760139	0.990043
-0.637686	-0.0726625	-0.0726625	1.11659
-0.843873	-0.0680292	-0.0680292	10.8286
-0.738583	-0.062311	-0.062311	3.57158
-0.847017	-0.0560955	-0.0560955	0.481123
-0.77719	-0.048689	-0.048689	4.18757
-0.834246	-0.0404157	-0.0404157	3.44026
-0.840582	-0.031627	-0.031627	12.5785
-0.858055	-0.0221183	-0.0221183	2.55387
-0.861106	-0.0125314	-0.0125314	3.72473
-0.811768	-0.00281103	-0.00281103	4.27331
-0.739533	0.00711286	0.00711286	1.55728
-0.649689	0.0166444	0.0166444	2.08691
-0.650469	0.0261482	0.0261482	5.57452
-0.483657	0.0353222	0.0353222	4.9217
-0.281056	0.0437972	0.0437972	6.56046
-0.308282	0.0517366	0.0517366	1.79418
-0.216605	0.0589329	0.0589329	3.52948
